# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G75230	15131	14467	52
G75231	12169	11410	78
G75232	10110	9614	22
G63410	86338	70615	3464
G75234	26329	25027	26
G63409	142318	117558	80
G75229	6724	6377	11
G75228	8980	8771	7
G63413	61451	51624	66
G75226	18464	17931	25
G63406	123890	104333	92
G63407	88579	71276	3596
G63402	114694	95089	242
G63403	37092	32158	84
G75227	4111	4002	3
G75233	21528	20682	59
G75237	17484	16941	34
G75236	36524	35022	34
G75235	14003	13417	9
G63411	122820	100858	120
G51190	80434	40132	121
